pelvis_spine1-x;pelvis_spine1-y;pelvis_spine1-z;spine1-x;spine1-y;spine1-z;pelvis_left_femur-x;pelvis_left_femur-y;pelvis_left_femur-z;left_femur_tibia-x;left_femur_tibia-y;left_femur_tibia-z;pelvis-x;pelvis-y;pelvis-z;pelvis_left_femur-x;pelvis_left_femur-y;pelvis_left_femur-z;right_clavicle-x;right_clavicle-y;right_clavicle-z;right_humerus-x;right_humerus-y;right_humerus-z;left_manubrium-x;left_manubrium-y;left_manubrium-z;left_clavicle-x;left_clavicle-y;left_clavicle-z;pelvis_right_femur-x;pelvis_right_femur-y;pelvis_right_femur-z;right_femur_tibia-x;right_femur_tibia-y;right_femur_tibia-z;right_humerus-x;right_humerus-y;right_humerus-z;right_radius-x;right_radius-y;right_radius-z;left_clavicle-x;left_clavicle-y;left_clavicle-z;left_humerus-x;left_humerus-y;left_humerus-z;left_femur_tibia-x;left_femur_tibia-y;left_femur_tibia-z;left_tibia_foot-x;left_tibia_foot-y;left_tibia_foot-z;right_manubrium-x;right_manubrium-y;right_manubrium-z;right_clavicle-x;right_clavicle-y;right_clavicle-z;right_femur_tibia-x;right_femur_tibia-y;right_femur_tibia-z;right_tibia_foot-x;right_tibia_foot-y;right_tibia_foot-z;pelvis-x;pelvis-y;pelvis-z;pelvis_right_femur-x;pelvis_right_femur-y;pelvis_right_femur-z;spine1-x;spine1-y;spine1-z;spine2-x;spine2-y;spine2-z;pelvis-x;pelvis-y;pelvis-z;pelvis_spine1-x;pelvis_spine1-y;pelvis_spine1-z;left_humerus-x;left_humerus-y;left_humerus-z;left_radius-x;left_radius-y;left_radius-z;spine2-x;spine2-y;spine2-z;neck-x;neck-y;neck-z
50.231;11.041;148.639;50.443;13.395;148.795;51.36;10.111;148.375;51.11;5.713;148.404;50.45;10.439;148.965;51.36;10.111;148.375;48.861;15.127;149.882;48.102;12.365;149.869;51.228;14.98;148.97;52.267;15.106;148.028;49.539;10.071;149.529;50.529;6.06;151.056;48.102;12.365;149.869;47.974;9.87;150.185;52.267;15.106;148.028;52.995;12.252;147.874;51.11;5.713;148.404;49.769;1.188;147.291;50.208;15.015;149.487;48.861;15.127;149.882;50.529;6.06;151.056;49.843;1.578;149.424;50.45;10.439;148.965;49.539;10.071;149.529;50.443;13.395;148.795;50.339;15.505;148.446;50.45;10.439;148.965;50.231;11.041;148.639;52.995;12.252;147.874;53.528;10.076;148.898;50.339;15.505;148.446;51.112;16.361;149.736
50.536;10.95;149.099;50.763;13.301;149.276;51.657;10.017;148.808;51.228;5.641;148.544;50.756;10.343;149.414;51.657;10.017;148.808;49.17;15.024;150.369;48.332;12.288;150.236;51.54;14.888;149.465;52.582;15.039;148.531;49.851;9.972;149.985;50.981;6.088;151.728;48.332;12.288;150.236;48.075;9.789;150.416;52.582;15.039;148.531;53.451;12.221;148.519;51.228;5.641;148.544;49.736;1.218;147.231;50.518;14.915;149.98;49.17;15.024;150.369;50.981;6.088;151.728;50.961;1.315;151.06;50.756;10.343;149.414;49.851;9.972;149.985;50.763;13.301;149.276;50.65;15.413;148.943;50.756;10.343;149.414;50.536;10.95;149.099;53.451;12.221;148.519;54.052;10.186;149.771;50.65;15.413;148.943;51.415;16.266;150.24
50.85;10.815;149.591;51.09;13.163;149.788;51.963;9.882;149.271;51.384;5.545;148.762;51.071;10.201;149.893;51.963;9.882;149.271;49.499;14.879;150.898;48.587;12.174;150.669;51.864;14.751;149.98;52.896;14.924;149.038;50.171;9.824;150.468;51.398;6.026;152.332;48.587;12.174;150.669;48.219;9.683;150.731;52.896;14.924;149.038;53.876;12.144;149.129;51.384;5.545;148.762;49.72;1.278;147.168;50.846;14.772;150.502;49.499;14.879;150.898;51.398;6.026;152.332;51.97;1.245;152.513;51.071;10.201;149.893;50.171;9.824;150.468;51.09;13.163;149.788;50.969;15.276;149.467;51.071;10.201;149.893;50.85;10.815;149.591;53.876;12.144;149.129;54.536;10.244;150.552;50.969;15.276;149.467;51.735;16.131;150.761
51.18;10.662;150.125;51.426;13.008;150.334;52.287;9.729;149.783;51.598;5.433;149.095;51.402;10.044;150.417;52.287;9.729;149.783;49.844;14.724;151.462;48.882;12.042;151.168;52.198;14.599;150.515;53.21;14.787;149.555;50.506;9.663;150.998;51.811;5.909;152.897;48.882;12.042;151.168;48.428;9.565;151.137;53.21;14.787;149.555;54.269;12.038;149.715;51.598;5.433;149.095;49.75;1.385;147.169;51.187;14.617;151.051;49.844;14.724;151.462;51.811;5.909;152.897;52.768;1.237;153.587;51.402;10.044;150.417;50.506;9.663;150.998;51.426;13.008;150.334;51.293;15.12;150.013;51.402;10.044;150.417;51.18;10.662;150.125;54.269;12.038;149.715;54.986;10.246;151.245;51.293;15.12;150.013;52.065;15.984;151.299
51.526;10.524;150.702;51.763;12.871;150.909;52.627;9.588;150.349;51.871;5.323;149.551;51.749;9.905;150.992;52.627;9.588;150.349;50.185;14.589;152.043;49.215;11.915;151.713;52.527;14.468;151.068;53.519;14.66;150.088;50.858;9.527;151.581;52.225;5.778;153.445;49.215;11.915;151.713;48.707;9.449;151.621;53.519;14.66;150.088;54.621;11.932;150.298;51.871;5.323;149.551;49.842;1.556;147.27;51.523;14.484;151.616;50.185;14.589;152.043;52.225;5.778;153.445;53.314;1.15;154.232;51.749;9.905;150.992;50.858;9.527;151.581;51.763;12.871;150.909;51.613;14.98;150.574;51.749;9.905;150.992;51.526;10.524;150.702;54.621;11.932;150.298;55.384;10.2;151.875;51.613;14.98;150.574;52.385;15.858;151.849
51.884;10.435;151.313;52.103;12.786;151.507;52.978;9.491;150.962;52.202;5.237;150.123;52.107;9.819;151.608;52.978;9.491;150.962;50.515;14.497;152.636;49.572;11.815;152.293;52.851;14.392;151.645;53.831;14.579;150.652;51.218;9.451;152.207;52.613;5.66;153.963;49.572;11.815;152.293;49.05;9.353;152.171;53.831;14.579;150.652;54.927;11.85;150.881;52.202;5.237;150.123;50.005;1.824;147.471;51.85;14.402;152.201;50.515;14.497;152.636;52.613;5.66;153.963;53.608;0.977;154.518;52.107;9.819;151.608;51.218;9.451;152.207;52.103;12.786;151.507;51.929;14.89;151.153;52.107;9.819;151.608;51.884;10.435;151.313;54.927;11.85;150.881;55.706;10.105;152.435;51.929;14.89;151.153;52.694;15.782;152.423
52.249;10.422;151.94;52.451;12.775;152.122;53.335;9.465;151.599;52.595;5.195;150.812;52.467;9.807;152.242;53.335;9.465;151.599;50.85;14.463;153.254;49.947;11.766;152.916;53.185;14.388;152.256;54.16;14.567;151.256;51.576;9.453;152.847;52.938;5.572;154.422;49.947;11.766;152.916;49.441;9.302;152.788;54.16;14.567;151.256;55.19;11.809;151.435;52.595;5.195;150.812;50.258;2.213;147.785;52.185;14.39;152.812;50.85;14.463;153.254;52.938;5.572;154.422;53.688;0.814;154.571;52.467;9.807;152.242;51.576;9.453;152.847;52.451;12.775;152.122;52.257;14.876;151.764;52.467;9.807;152.242;52.249;10.422;151.94;55.19;11.809;151.435;55.943;9.972;152.893;52.257;14.876;151.764;53.015;15.774;153.034
52.612;10.485;152.561;52.806;12.839;152.736;53.694;9.518;152.236;53.073;5.199;151.631;52.824;9.872;152.87;53.694;9.518;152.236;51.203;14.496;153.894;50.332;11.785;153.583;53.533;14.455;152.879;54.504;14.625;151.875;51.927;9.53;153.472;53.185;5.526;154.809;50.332;11.785;153.583;49.868;9.312;153.48;54.504;14.625;151.875;55.421;11.822;151.931;53.073;5.199;151.631;50.654;2.67;148.276;52.535;14.449;153.439;51.203;14.496;153.894;53.185;5.526;154.809;53.643;0.738;154.528;52.824;9.872;152.87;51.927;9.53;153.472;52.806;12.839;152.736;52.602;14.943;152.394;52.824;9.872;152.87;52.612;10.485;152.561;55.421;11.822;151.931;56.116;9.85;153.233;52.602;14.943;152.394;53.364;15.833;153.667
52.963;10.6;153.155;53.147;12.955;153.322;54.052;9.633;152.853;53.665;5.253;152.586;53.173;9.991;153.472;54.052;9.633;152.853;51.564;14.59;154.522;50.722;11.863;154.277;53.879;14.568;153.47;54.839;14.729;152.453;52.269;9.651;154.066;53.375;5.526;155.144;50.722;11.863;154.277;50.326;9.376;154.244;54.839;14.729;152.453;55.627;11.888;152.36;53.665;5.253;152.586;51.241;3.033;149.022;52.887;14.559;154.042;51.564;14.59;154.522;53.375;5.526;155.144;53.589;0.754;154.508;53.173;9.991;153.472;52.269;9.651;154.066;53.147;12.955;153.322;52.943;15.062;153.0;53.173;9.991;153.472;52.963;10.6;153.155;55.627;11.888;152.36;56.258;9.795;153.496;52.943;15.062;153.0;53.724;15.939;154.271
53.294;10.726;153.714;53.463;13.084;153.863;54.404;9.774;153.441;54.361;5.374;153.637;53.509;10.124;154.041;54.404;9.774;153.441;51.917;14.717;155.11;51.118;11.969;154.986;54.205;14.693;154.0;55.145;14.845;152.962;52.601;9.776;154.624;53.535;5.55;155.441;51.118;11.969;154.986;50.842;9.468;155.086;55.145;14.845;152.962;55.81;11.98;152.734;54.361;5.374;153.637;52.012;3.11;150.05;53.227;14.687;154.593;51.917;14.717;155.11;53.535;5.55;155.441;53.581;0.816;154.54;53.509;10.124;154.041;52.601;9.776;154.624;53.463;13.084;153.863;53.262;15.192;153.551;53.509;10.124;154.041;53.294;10.726;153.714;55.81;11.98;152.734;56.385;9.795;153.715;53.262;15.192;153.551;54.074;16.059;154.809
53.615;10.831;154.243;53.767;13.191;154.378;54.746;9.898;153.997;55.096;5.562;154.689;53.835;10.236;154.58;54.746;9.898;153.997;52.269;14.838;155.667;51.532;12.07;155.712;54.525;14.794;154.493;55.438;14.942;153.432;52.924;9.876;155.149;53.677;5.57;155.693;51.532;12.07;155.712;51.438;9.571;156.006;55.438;14.942;153.432;55.973;12.064;153.063;55.096;5.562;154.689;52.917;2.833;151.325;53.562;14.797;155.111;52.269;14.838;155.667;53.677;5.57;155.693;53.606;0.883;154.575;53.835;10.236;154.58;52.924;9.876;155.149;53.767;13.191;154.378;53.574;15.3;154.068;53.835;10.236;154.58;53.615;10.831;154.243;55.973;12.064;153.063;56.489;9.799;153.882;53.574;15.3;154.068;54.421;16.164;155.305
53.941;10.895;154.756;54.087;13.255;154.891;55.083;9.971;154.529;55.792;5.771;155.652;54.16;10.302;155.096;55.083;9.971;154.529;52.634;14.919;156.217;51.969;12.143;156.451;54.863;14.851;154.993;55.754;15.0;153.914;53.242;9.935;155.651;53.813;5.575;155.907;51.969;12.143;156.451;52.094;9.68;156.966;55.754;15.0;153.914;56.139;12.124;153.382;55.792;5.771;155.652;53.922;2.324;152.8;53.913;14.862;155.631;52.634;14.919;156.217;53.813;5.575;155.907;53.637;0.946;154.579;54.16;10.302;155.096;53.242;9.935;155.651;54.087;13.255;154.891;53.909;15.367;154.588;54.16;10.302;155.096;53.941;10.895;154.756;56.139;12.124;153.382;56.576;9.784;154.016;53.909;15.367;154.588;54.787;16.229;155.805
54.28;10.905;155.261;54.434;13.264;155.414;55.423;9.977;155.048;56.412;5.937;156.496;54.492;10.31;155.602;55.423;9.977;155.048;53.01;14.944;156.76;52.42;12.173;157.182;55.225;14.852;155.514;56.103;15.005;154.423;53.565;9.944;156.142;53.955;5.556;156.117;52.42;12.173;157.182;52.764;9.787;157.912;56.103;15.005;154.423;56.337;12.148;153.73;56.412;5.937;156.496;54.997;1.796;154.406;54.281;14.87;156.16;53.01;14.944;156.76;53.955;5.556;156.117;53.657;1.006;154.561;54.492;10.31;155.602;53.565;9.944;156.142;54.434;13.264;155.414;54.272;15.378;155.119;54.492;10.31;155.602;54.28;10.905;155.261;56.337;12.148;153.73;56.676;9.748;154.17;54.272;15.378;155.119;55.171;16.239;156.321
54.636;10.862;155.766;54.802;13.218;155.941;55.773;9.925;155.564;56.957;6.029;157.245;54.838;10.263;156.108;55.773;9.925;155.564;53.389;14.917;157.286;52.876;12.163;157.882;55.602;14.802;156.038;56.474;14.957;154.944;53.901;9.903;156.633;54.114;5.512;156.359;52.876;12.163;157.882;53.409;9.879;158.802;56.474;14.957;154.944;56.584;12.128;154.116;56.957;6.029;157.245;56.07;1.421;156.024;54.659;14.825;156.687;53.389;14.917;157.286;54.114;5.512;156.359;53.652;1.072;154.544;54.838;10.263;156.108;53.901;9.903;156.633;54.802;13.218;155.941;54.651;15.333;155.646;54.838;10.263;156.108;54.636;10.862;155.766;56.584;12.128;154.116;56.821;9.689;154.372;54.651;15.333;155.646;55.559;16.195;156.84
55.009;10.781;156.279;55.185;13.135;156.467;56.143;9.837;156.087;57.436;6.05;157.927;55.204;10.179;156.621;56.143;9.837;156.087;53.773;14.854;157.794;53.33;12.124;158.537;55.989;14.717;156.555;56.86;14.868;155.459;54.258;9.823;157.134;54.3;5.445;156.652;53.33;12.124;158.537;54.007;9.947;159.609;56.86;14.868;155.459;56.877;12.067;154.536;57.436;6.05;157.927;57.019;1.239;157.485;55.046;14.747;157.202;53.773;14.854;157.794;54.3;5.445;156.652;53.626;1.164;154.545;55.204;10.179;156.621;54.258;9.823;157.134;55.185;13.135;156.467;55.04;15.249;156.158;55.204;10.179;156.621;55.009;10.781;156.279;56.877;12.067;154.536;57.022;9.609;154.631;55.04;15.249;156.158;55.949;16.117;157.347
55.404;10.688;156.807;55.584;13.043;156.994;56.539;9.745;156.621;57.859;6.016;158.558;55.595;10.085;157.148;56.539;9.745;156.621;54.168;14.781;158.292;53.779;12.074;159.145;56.388;14.626;157.063;57.258;14.765;155.966;54.645;9.728;157.651;54.529;5.372;157.011;53.779;12.074;159.145;54.547;9.983;160.32;57.258;14.765;155.966;57.211;11.984;154.985;57.859;6.016;158.558;57.746;1.169;158.647;55.445;14.663;157.71;54.168;14.781;158.292;54.529;5.372;157.011;53.598;1.319;154.575;55.595;10.085;157.148;54.645;9.728;157.651;55.584;13.043;156.994;55.439;15.152;156.66;55.595;10.085;157.148;55.404;10.688;156.807;57.211;11.984;154.985;57.285;9.522;154.955;55.439;15.152;156.66;56.347;16.034;157.84
55.822;10.614;157.351;56.0;12.97;157.525;56.964;9.68;157.168;58.237;5.949;159.134;56.015;10.011;157.691;56.964;9.68;157.168;54.582;14.723;158.791;54.22;12.033;159.705;56.804;14.554;157.569;57.673;14.677;156.468;55.064;9.645;158.186;54.821;5.309;157.45;54.22;12.033;159.705;55.025;9.984;160.93;57.673;14.677;156.468;57.585;11.905;155.466;58.237;5.949;159.134;58.231;1.11;159.452;55.861;14.601;158.216;54.582;14.723;158.791;54.821;5.309;157.45;53.607;1.573;154.659;56.015;10.011;157.691;55.064;9.645;158.186;56.0;12.97;157.525;55.854;15.074;157.158;56.015;10.011;157.691;55.822;10.614;157.351;57.585;11.905;155.466;57.612;9.444;155.357;55.854;15.074;157.158;56.762;15.973;158.326
56.259;10.581;157.908;56.433;12.939;158.059;57.41;9.659;157.722;58.579;5.872;159.644;56.457;9.978;158.245;57.41;9.659;157.722;55.013;14.701;159.295;54.652;12.014;160.219;57.237;14.523;158.079;58.106;14.628;156.976;55.509;9.6;158.737;55.194;5.271;157.986;54.652;12.014;160.219;55.443;9.958;161.44;58.106;14.628;156.976;58.003;11.851;155.986;58.579;5.872;159.644;58.52;1.031;159.924;56.295;14.58;158.725;55.013;14.701;159.295;55.194;5.271;157.986;53.701;1.925;154.856;56.457;9.978;158.245;55.509;9.6;158.737;56.433;12.939;158.059;56.287;15.037;157.661;56.457;9.978;158.245;56.259;10.581;157.908;58.003;11.851;155.986;58.008;9.392;155.847;56.287;15.037;157.661;57.195;15.952;158.815
56.705;10.6;158.468;56.876;12.959;158.595;57.864;9.69;158.272;58.892;5.806;160.078;56.91;9.998;158.801;57.864;9.69;158.272;55.452;14.726;159.805;55.07;12.028;160.689;57.682;14.543;158.599;58.554;14.63;157.497;55.968;9.608;159.296;55.655;5.266;158.63;55.07;12.028;160.689;55.805;9.924;161.862;58.554;14.63;157.497;58.463;11.84;156.546;58.892;5.806;160.078;58.683;0.962;160.151;56.737;14.609;159.242;55.452;14.726;159.805;55.655;5.266;158.63;53.92;2.319;155.234;56.91;9.998;158.801;55.968;9.608;159.296;56.876;12.959;158.595;56.733;15.053;158.172;56.91;9.998;158.801;56.705;10.6;158.468;58.463;11.84;156.546;58.475;9.379;156.423;56.733;15.053;158.172;57.641;15.98;159.317
57.148;10.669;159.017;57.319;13.028;159.127;58.311;9.766;158.808;59.177;5.765;160.434;57.361;10.067;159.347;58.311;9.766;158.808;55.89;14.794;160.317;55.471;12.077;161.119;58.128;14.611;159.127;59.008;14.685;158.031;56.427;9.671;159.851;56.195;5.298;159.377;55.471;12.077;161.119;56.118;9.9;162.209;59.008;14.685;158.031;58.962;11.873;157.14;59.177;5.765;160.434;58.774;0.936;160.238;57.18;14.682;159.764;55.89;14.794;160.317;56.195;5.298;159.377;54.277;2.665;155.826;57.361;10.067;159.347;56.427;9.671;159.851;57.319;13.028;159.127;57.183;15.12;158.692;57.361;10.067;159.347;57.148;10.669;159.017;58.962;11.873;157.14;59.007;9.411;157.073;57.183;15.12;158.692;58.089;16.05;159.836
57.579;10.772;159.545;57.753;13.132;159.646;58.74;9.871;159.32;59.432;5.752;160.719;57.798;10.171;159.873;58.74;9.871;159.32;56.316;14.895;160.824;55.851;12.154;161.513;58.565;14.712;159.656;59.459;14.781;158.57;56.872;9.775;160.393;56.798;5.375;160.202;55.851;12.154;161.513;56.389;9.897;162.493;59.459;14.781;158.57;59.488;11.945;157.758;59.432;5.752;160.719;58.822;0.962;160.272;57.611;14.785;160.283;56.316;14.895;160.824;56.798;5.375;160.202;54.765;2.876;156.618;57.798;10.171;159.873;56.872;9.775;160.393;57.753;13.132;159.646;57.626;15.225;159.212;57.798;10.171;159.873;57.579;10.772;159.545;59.488;11.945;157.758;59.592;9.484;157.786;57.626;15.225;159.212;58.527;16.149;160.365
57.989;10.89;160.046;58.169;13.249;160.146;59.144;9.984;159.802;59.651;5.76;160.942;58.213;10.29;160.372;59.144;9.984;159.802;56.721;15.008;161.318;56.205;12.246;161.872;58.984;14.828;160.177;59.896;14.897;159.107;57.297;9.899;160.912;57.444;5.499;161.072;56.205;12.246;161.872;56.619;9.912;162.723;59.896;14.897;159.107;60.031;12.039;158.391;59.651;5.76;160.942;58.842;1.022;160.302;58.022;14.898;160.793;56.721;15.008;161.318;57.444;5.499;161.072;55.38;2.9;157.578;58.213;10.29;160.372;57.297;9.899;160.912;58.169;13.249;160.146;58.052;15.345;159.725;58.213;10.29;160.372;57.989;10.89;160.046;60.031;12.039;158.391;60.219;9.588;158.555;58.052;15.345;159.725;58.944;16.257;160.894
58.375;10.997;160.517;58.563;13.355;160.623;59.52;10.084;160.254;59.833;5.776;161.114;58.603;10.398;160.842;59.52;10.084;160.254;57.099;15.109;161.793;56.528;12.332;162.201;59.378;14.934;160.682;60.312;15.01;159.631;57.697;10.014;161.404;58.105;5.662;161.948;56.528;12.332;162.201;56.806;9.932;162.913;60.312;15.01;159.631;60.582;12.134;159.033;59.833;5.776;161.114;58.844;1.091;160.343;58.407;14.997;161.284;57.099;15.109;161.793;58.105;5.662;161.948;56.131;2.716;158.685;58.603;10.398;160.842;57.697;10.014;161.404;58.563;13.355;160.623;58.452;15.455;160.221;58.603;10.398;160.842;58.375;10.997;160.517;60.582;12.134;159.033;60.873;9.712;159.376;58.452;15.455;160.221;59.332;16.35;161.413
58.736;11.068;160.962;58.934;13.426;161.079;59.87;10.148;160.68;59.98;5.781;161.244;58.968;10.47;161.286;59.87;10.148;160.68;57.449;15.173;162.247;56.816;12.391;162.508;59.744;15.005;161.169;60.701;15.095;160.141;58.072;10.095;161.869;58.749;5.842;162.794;56.816;12.391;162.508;56.953;9.941;163.076;60.701;15.095;160.141;61.13;12.213;159.681;59.98;5.781;161.244;58.833;1.149;160.383;58.764;15.06;161.757;57.449;15.173;162.247;58.749;5.842;162.794;57.037;2.351;159.947;58.968;10.47;161.286;58.072;10.095;161.869;58.934;13.426;161.079;58.824;15.53;160.7;58.968;10.47;161.286;58.736;11.068;160.962;61.13;12.213;159.681;61.534;9.85;160.246;58.824;15.53;160.7;59.688;16.407;161.915
59.077;11.085;161.392;59.286;13.441;161.524;60.199;10.158;161.088;60.1;5.762;161.349;59.311;10.485;161.711;60.199;10.158;161.088;57.778;15.179;162.69;57.076;12.405;162.811;60.087;15.023;161.642;61.066;15.132;160.635;58.424;10.116;162.312;59.346;5.999;163.58;57.076;12.405;162.811;57.068;9.922;163.235;61.066;15.132;160.635;61.664;12.26;160.331;60.1;5.762;161.349;58.81;1.185;160.398;59.099;15.066;162.217;57.778;15.179;162.69;59.346;5.999;163.58;58.11;1.895;161.377;59.311;10.485;161.711;58.424;10.116;162.312;59.286;13.441;161.524;59.171;15.548;161.167;59.311;10.485;161.711;59.077;11.085;161.392;61.664;12.26;160.331;62.178;9.992;161.145;59.171;15.548;161.167;60.019;16.412;162.403
59.405;11.038;161.823;59.629;13.391;161.973;60.517;10.106;161.495;60.213;5.712;161.456;59.641;10.435;162.134;60.517;10.106;161.495;58.101;15.12;163.141;57.32;12.365;163.133;60.421;14.976;162.113;61.412;15.109;161.122;58.762;10.066;162.747;59.877;6.093;164.287;57.32;12.365;163.133;57.17;9.867;163.419;61.412;15.109;161.122;62.174;12.264;160.97;60.213;5.712;161.456;58.776;1.21;160.369;59.427;15.009;162.68;58.101;15.12;163.141;59.877;6.093;164.287;59.3;1.501;162.942;59.641;10.435;162.134;58.762;10.066;162.747;59.629;13.391;161.973;59.506;15.501;161.635;59.641;10.435;162.134;59.405;11.038;161.823;62.174;12.264;160.97;62.782;10.125;162.032;59.506;15.501;161.635;60.341;16.356;162.886
59.735;10.932;162.274;59.975;13.282;162.444;60.837;9.999;161.917;60.347;5.633;161.606;59.972;10.323;162.573;60.837;9.999;161.917;58.44;15.003;163.622;57.573;12.276;163.504;60.76;14.87;162.596;61.751;15.027;161.608;59.098;9.951;163.192;60.348;6.094;164.915;57.573;12.276;163.504;57.292;9.778;163.664;61.751;15.027;161.608;62.653;12.219;161.582;60.347;5.633;161.606;58.741;1.247;160.304;59.767;14.894;163.163;58.44;15.003;163.622;60.348;6.094;164.915;60.483;1.296;164.494;59.972;10.323;162.573;59.098;9.951;163.192;59.975;13.282;162.444;59.843;15.395;162.122;59.972;10.323;162.573;59.735;10.932;162.274;62.653;12.219;161.582;63.337;10.223;162.854;59.843;15.395;162.122;60.673;16.247;163.378
60.079;10.789;162.76;60.332;13.136;162.948;61.172;9.856;162.376;60.53;5.531;161.844;60.315;10.174;163.046;61.172;9.856;162.376;58.803;14.852;164.144;57.862;12.155;163.942;61.114;14.725;163.099;62.091;14.903;162.101;59.447;9.796;163.669;60.791;6.014;165.483;57.862;12.155;163.942;57.469;9.667;163.996;62.091;14.903;162.101;63.101;12.132;162.161;60.53;5.531;161.844;58.733;1.318;160.253;60.126;14.745;163.676;58.803;14.852;164.144;60.791;6.014;165.483;61.511;1.26;165.806;60.315;10.174;163.046;59.447;9.796;163.669;60.332;13.136;162.948;60.192;15.249;162.635;60.315;10.174;163.046;60.079;10.789;162.76;63.101;12.132;162.161;63.85;10.266;163.583;60.192;15.249;162.635;61.025;16.106;163.887
60.441;10.637;163.288;60.697;12.983;163.485;61.527;9.704;162.885;60.779;5.417;162.199;60.678;10.018;163.567;61.527;9.704;162.885;59.177;14.7;164.696;58.194;12.022;164.439;61.475;14.575;163.621;62.431;14.765;162.604;59.815;9.637;164.194;61.234;5.889;166.021;58.194;12.022;164.439;57.72;9.548;164.413;62.431;14.765;162.604;63.512;12.024;162.725;60.779;5.417;162.199;58.78;1.44;160.277;60.495;14.592;164.212;59.177;14.7;164.696;61.234;5.889;166.021;62.29;1.24;166.723;60.678;10.018;163.567;59.815;9.637;164.194;60.697;12.983;163.485;60.544;15.095;163.169;60.678;10.018;163.567;60.441;10.637;163.288;63.512;12.024;162.725;64.323;10.254;164.234;60.544;15.095;163.169;61.381;15.962;164.41
60.821;10.509;163.857;61.064;12.857;164.048;61.9;9.572;163.447;61.093;5.311;162.671;61.059;9.891;164.136;61.9;9.572;163.447;59.544;14.575;165.261;58.563;11.899;164.976;61.83;14.456;164.161;62.767;14.648;163.128;60.2;9.515;164.772;61.672;5.759;166.541;58.563;11.899;164.976;58.043;9.436;164.9;62.767;14.648;163.128;63.882;11.922;163.291;61.093;5.311;162.671;58.897;1.633;160.4;60.857;14.471;164.763;59.544;14.575;165.261;61.672;5.759;166.541;62.793;1.124;167.235;61.059;9.891;164.136;60.2;9.515;164.772;61.064;12.857;164.048;60.89;14.965;163.716;61.059;9.891;164.136;60.821;10.509;163.857;63.882;11.922;163.291;64.733;10.195;164.827;60.89;14.965;163.716;61.725;15.847;164.948
61.212;10.439;164.455;61.436;12.79;164.634;62.285;9.492;164.05;61.47;5.237;163.256;61.449;9.823;164.74;62.285;9.492;164.05;59.904;14.497;165.842;58.955;11.811;165.547;62.185;14.399;164.73;63.111;14.584;163.686;60.593;9.459;165.386;62.072;5.648;167.026;58.955;11.811;165.547;58.429;9.349;165.448;63.111;14.584;163.686;64.204;11.85;163.853;61.47;5.237;163.256;59.092;1.934;160.619;61.215;14.407;165.337;59.904;14.497;165.842;62.072;5.648;167.026;63.033;0.943;167.432;61.449;9.823;164.74;60.593;9.459;165.386;61.436;12.79;164.634;61.237;14.893;164.286;61.449;9.823;164.74;61.212;10.439;164.455;64.204;11.85;163.853;65.059;10.087;165.347;61.237;14.893;164.286;62.064;15.789;165.515
61.609;10.448;165.063;61.818;12.801;165.232;62.675;9.488;164.671;61.92;5.207;163.956;61.841;9.834;165.355;62.675;9.488;164.671;60.275;14.481;166.45;59.365;11.78;166.162;62.555;14.415;165.33;63.476;14.592;164.281;60.981;9.484;166.005;62.397;5.57;167.448;59.365;11.78;166.162;58.864;9.314;166.064;63.476;14.592;164.281;64.485;11.822;164.38;61.92;5.207;163.956;59.396;2.352;160.958;61.585;14.415;165.938;60.275;14.481;166.45;62.397;5.57;167.448;63.068;0.798;167.442;61.841;9.834;165.355;60.981;9.484;166.005;61.818;12.801;165.232;61.602;14.903;164.887;61.841;9.834;165.355;61.609;10.448;165.063;64.485;11.822;164.38;65.297;9.95;165.76;61.602;14.903;164.887;62.423;15.8;166.118
62.002;10.529;165.659;62.202;12.883;165.822;63.066;9.56;165.284;62.471;5.224;164.786;62.228;9.917;165.959;63.066;9.56;165.284;60.665;14.532;167.071;59.787;11.817;166.818;62.936;14.498;165.931;63.852;14.666;164.875;61.361;9.576;166.604;62.645;5.538;167.807;59.787;11.817;166.818;59.334;9.34;166.752;63.852;14.666;164.875;64.733;11.851;164.845;62.471;5.224;164.786;59.869;2.802;161.488;61.969;14.491;166.543;60.665;14.532;167.071;62.645;5.538;167.807;63.008;0.75;167.4;62.228;9.917;165.959;61.361;9.576;166.604;62.202;12.883;165.822;61.98;14.987;165.497;62.228;9.917;165.959;62.002;10.529;165.659;64.733;11.851;164.845;65.474;9.843;166.064;61.98;14.987;165.497;62.81;15.875;166.729
62.377;10.65;166.225;62.566;13.006;166.378;63.454;9.686;165.875;63.144;5.295;165.741;62.604;10.043;166.534;63.454;9.686;165.875;61.056;14.638;167.67;60.213;11.906;167.496;63.306;14.618;166.487;64.208;14.776;165.418;61.73;9.702;167.17;62.841;5.547;168.122;60.213;11.906;167.496;59.844;9.415;167.511;64.208;14.776;165.418;64.954;11.928;165.248;63.144;5.295;165.741;60.551;3.104;162.278;62.349;14.609;167.114;61.056;14.638;167.67;62.841;5.547;168.122;62.964;0.784;167.398;62.604;10.043;166.534;61.73;9.702;167.17;62.566;13.006;166.378;62.346;15.114;166.071;62.604;10.043;166.534;62.377;10.65;166.225;64.954;11.928;165.248;65.624;9.807;166.307;62.346;15.114;166.071;63.199;15.987;167.297
